Time (s),Velocity (m/s),Mass (kg)
417.107714176178,2918.798936616722,5058.60693359375
417.22471380233765,2918.729888409915,5058.60693359375
417.33671522140503,2918.672178188667,5058.60693359375
417.4557135105133,2918.6027187573013,5058.60693359375
417.5837152004242,2918.5097480972368,5058.60693359375
417.72909927368164,2918.4280558376577,5058.60693359375
417.8752932548523,2918.3460363024515,5058.60693359375
418.027583360672,2918.2518903622695,5058.60693359375
418.1737394332886,2918.1691476379324,5058.60693359375
418.3046374320984,2918.074160322135,5058.60693359375
418.4696385860443,2917.9906707186083,5058.60693359375
418.5956497192383,2917.9188269097863,5058.60693359375
418.72367310523987,2917.834679872038,5058.60693359375
418.8666718006134,2917.7501783786797,5058.60693359375
418.9874200820923,2917.677467617025,5058.60693359375
419.1096525192261,2917.6044995018715,5058.60693359375
419.23465394973755,2917.5190482885123,5058.60693359375
419.38765263557434,2917.186428741069,5058.60693359375
419.5366578102112,2906.9275967390645,5058.60693359375
419.6937997341156,2861.49989856415,5058.60693359375
419.8297960758209,2766.312393026592,5058.60693359375
419.9687957763672,2605.7142186193564,5058.60693359375
420.1104438304901,2393.7316921888278,5058.60693359375
420.2474434375763,2161.620783366018,5058.60693359375
420.3854444026947,1937.4491715426784,5058.60693359375
420.51144337654114,1775.2266082972435,5058.60693359375
420.64297676086426,1622.8492276312916,5058.60693359375
420.84605622291565,1517.2677074898334,5058.60693359375
420.9670560359955,1417.2291680760063,5058.60693359375
421.0860571861267,1347.7000800372434,5058.60693359375
421.2016546726227,1290.6356503735483,5058.60693359375
421.31030797958374,1251.2759429343484,5058.60693359375
421.4253087043762,1212.59579022819,5058.60693359375
421.53830885887146,1182.091888407559,5058.60693359375
421.64830708503723,1162.169768238949,5058.60693359375
421.76131558418274,1144.0891241242384,5058.60693359375
421.8783793449402,1131.628849968778,5058.60693359375
421.99037981033325,1125.0398732887854,5058.60693359375
422.1063861846924,1121.154081256799,5058.60693359375
422.2253887653351,1121.1357358347686,5058.60693359375
422.33137917518616,1123.7182603012159,5058.60693359375
422.44703578948975,1129.5521248720265,5058.60693359375
422.5632345676422,1137.996870481969,5058.60693359375
422.6742465496063,1146.7738189572644,5058.60693359375
422.79124665260315,1159.1221995591063,5058.60693359375
422.9052667617798,1173.1892803658045,5058.60693359375
423.0162661075592,1186.046645397216,5058.60693359375
423.13663029670715,1202.6488337495416,5058.60693359375
423.25363063812256,1220.3501887307075,5058.60693359375
423.36865234375,1238.9824725928934,5058.60693359375
423.48365926742554,1258.398945136882,5058.60693359375
423.59040451049805,1275.0856262345185,5058.60693359375
423.6944100856781,1292.1627022717787,5058.60693359375
423.80440497398376,1313.0893345609447,5058.60693359375
423.9119396209717,1330.830100558971,5058.60693359375
424.0299310684204,1352.4141289962292,5058.60693359375
424.1470420360565,1374.2559941678098,5058.60693359375
424.2671127319336,1396.2963256853316,5058.60693359375
424.3761122226715,1414.7774218560091,5058.60693359375
424.49011421203613,1437.0524141940803,5058.60693359375
424.59711265563965,1455.6691868248024,5058.60693359375
424.7021224498749,1478.044024424904,5058.60693359375
424.8131148815155,1496.6976583347146,5058.60693359375
424.9231264591217,1519.0679979061567,5058.60693359375
425.03411841392517,1537.6820259091237,5058.60693359375
425.1481182575226,1559.9671506860088,5058.60693359375
425.25812125205994,1578.4824530400117,5058.60693359375
425.3884234428406,1600.6200078065701,5058.60693359375
425.50842356681824,1626.3179538791578,5058.60693359375
425.6264235973358,1648.2200845992127,5058.60693359375
425.782808303833,1669.9960756030616,5058.60693359375
425.8978147506714,1691.6369549987896,5058.60693359375
426.0098087787628,1713.1350067932692,5058.60693359375
426.12580943107605,1734.4836158766323,5058.60693359375
426.23980951309204,1752.1558649528185,5058.60693359375
426.3568103313446,1773.2164424733935,5058.60693359375
426.4748091697693,1794.1137065293121,5058.60693359375
426.5873267650604,1814.8441587155964,5058.60693359375
426.6941268444061,1831.9899961651522,5058.60693359375
426.79811811447144,1849.0165592226701,5058.60693359375
426.90611839294434,1869.2893478762553,5058.60693359375
427.01550912857056,1886.0496422969738,5058.60693359375
427.1305088996887,1906.0004229434444,5058.60693359375
427.2425980567932,1925.7740005974654,5058.60693359375
427.35059785842896,1942.1160925319061,5058.60693359375
427.46260499954224,1961.5631202242346,5058.60693359375
427.570618391037,1977.6325592571488,5058.60693359375
427.6841220855713,1996.7521155053703,5058.60693359375
427.798659324646,2012.5486620171866,5058.60693359375
427.9106595516205,2031.3410197111327,5058.60693359375
428.0322012901306,2049.955365220816,5058.60693359375
428.143217086792,2065.331688437949,5058.60693359375
428.26278162002563,2086.652089374235,5058.60693359375
428.3755476474762,2101.7340226882607,5058.60693359375
428.5235364437103,2119.6714304787165,5058.60693359375
428.6316418647766,2134.485745466934,5058.60693359375
428.7436635494232,2152.1034705947845,5058.60693359375
428.8608663082123,2169.5481436089167,5058.60693359375
428.9783968925476,2186.8207591607656,5058.60693359375
429.0999732017517,2203.9223523455566,5058.60693359375
429.2239730358124,2220.853991241821,5058.60693359375
429.3425223827362,2237.6167726099006,5058.60693359375
429.46055126190186,2254.2118155707667,5058.60693359375
429.5825536251068,2270.6402574848403,5058.60693359375
429.7025554180145,2286.903250060603,5058.60693359375
429.82357358932495,2303.0019552719555,5058.60693359375
429.9305214881897,2316.2928891217484,5058.60693359375
430.0381679534912,2329.4712256519924,5058.60693359375
430.15216875076294,2345.1375591805636,5058.60693359375
430.26615929603577,2360.643908132023,5058.60693359375
430.37615990638733,2373.4445023760245,5058.60693359375
430.4884250164032,2388.6605937313793,5058.60693359375
430.59742498397827,2401.2209433660155,5058.60693359375
430.70642375946045,2416.15069664723,5058.60693359375
430.8424241542816,2428.4740524530794,5058.60693359375
430.9594328403473,2445.547709021924,5058.60693359375
431.07842564582825,2460.017249796402,5058.60693359375
431.19883823394775,2474.3356514933675,5058.60693359375
431.3158390522003,2488.50402847853,5058.60693359375
431.4288384914398,2500.197203057999,5058.60693359375
431.54183864593506,2514.093390014982,5058.60693359375
431.65585947036743,2527.842644172049,5058.60693359375
431.7628586292267,2539.188885939574,5058.60693359375
431.8758587837219,2552.67152443905,5058.60693359375
431.98185896873474,2563.797053887765,5058.60693359375
432.0968699455261,2577.0165773081217,5058.60693359375
432.2148697376251,2590.094027973381,5058.60693359375
432.33373951911926,2603.0304074167198,5058.60693359375
432.4434745311737,2613.7036734753897,5058.60693359375
432.55547857284546,2626.3839757388596,5058.60693359375
432.66448998451233,2636.84519891199,5058.60693359375
432.77249789237976,2649.272652255892,5058.60693359375
432.87649869918823,2659.5244854147363,5058.60693359375
432.98050594329834,2669.6819980063815,5058.60693359375
433.0888087749481,2679.7457156663318,5058.60693359375
433.2028069496155,2691.699097513411,5058.60693359375
433.3158006668091,2703.5190444961336,5058.60693359375
433.4268009662628,2713.2676981012155,5058.60693359375
433.53844833374023,2724.8452607232325,5058.60693359375
433.64545702934265,2734.3931171874383,5058.60693359375
433.7628035545349,2745.7311286589097,5058.60693359375
433.8808059692383,2756.9396390769834,5058.60693359375
433.98655438423157,2766.1817203934033,5058.60693359375
434.0978515148163,2777.154889808387,5058.60693359375
434.20870637893677,2786.2019529114295,5058.60693359375
434.3277051448822,2796.9423986070824,5058.60693359375
434.44670581817627,2807.556978301074,5058.60693359375
434.5687048435211,2818.046433028915,5058.60693359375
434.68671226501465,2828.4114915367863,5058.60693359375
434.80870628356934,2838.652869473363,5058.60693359375
434.91822242736816,2848.7712700750767,5058.60693359375
435.0344569683075,2858.767384380613,5058.60693359375
435.1484565734863,2867.0045562333294,5058.60693359375
435.25345611572266,2876.7782323804995,5058.60693359375
435.3564567565918,2881.619881831346,5058.60693359375
435.46245765686035,2891.2132082115413,5058.60693359375
435.5864565372467,2900.687102764182,5058.60693359375
435.70645785331726,2910.042193233706,5058.60693359375
435.80945920944214,2919.279095642726,5058.60693359375
435.92545890808105,2926.886668811319,5058.60693359375
436.032790184021,2934.412931689077,5058.60693359375
436.14478969573975,2943.3375948241983,5058.60693359375
436.2622010707855,2952.1462354908012,5058.60693359375
436.36919474601746,2959.3985493662058,5058.60693359375
436.4812023639679,2967.995943516959,5058.60693359375
436.5912072658539,2975.072990782448,5058.60693359375
436.7012073993683,2983.460975480588,5058.60693359375
436.80911135673523,2990.3642611602813,5058.60693359375
436.92323780059814,2998.5446115344257,5058.60693359375
437.03323769569397,3005.2755895158066,5058.60693359375
437.14426255226135,3013.250020240912,5058.60693359375
437.2602641582489,3021.112832588859,5058.60693359375
437.3742003440857,3027.580261222912,5058.60693359375
437.48420667648315,3035.2396887015548,5058.60693359375
437.60120677948,3042.7888432746518,5058.60693359375
437.70920038223267,3048.9958995572033,5058.60693359375
437.82635259628296,3056.344068928076,5058.60693359375
437.94601798057556,3063.5832388510876,5058.60693359375
438.06211137771606,3070.7138420837814,5058.60693359375
438.1731107234955,3076.5733847233055,5058.60693359375
438.2931318283081,3083.5060447834826,5058.60693359375
438.4061460494995,3090.3313185444945,5058.60693359375
